,Feature,Coefficients,Odds ratio
1,source_tagged_min_direct,4.367400123563979,78.83839493481122
65,min_DD_13,1.4239252490050187,4.1533915813918485
57,min_DD_05,1.2974849628829577,3.6600798454899692
26,en_days_to_program_start_mean_before_program_start,1.2263599527012738,3.408798737032023
99,min_HR_15,0.9202979797757886,2.510038219137535
58,min_DD_06,0.8190543905479284,2.268353846219851
5,source_tagged_min_organic,0.8158582316823038,2.2611154007367196
35,day_of_week_sunday,0.7077607437991205,2.029441726793046
40,min_YYYY_2023,0.6137586675617129,1.847361985305805
63,min_DD_11,0.5819878530493118,1.7895923438490318
24,company_given_max_Yes,0.5766962508209119,1.7801475441147387
14,designation_final_individual_contributor,0.5629578824835056,1.7558584497525922
87,min_HR_03,0.5552786334757012,1.7424264154706097
28,en_person_age_in_system_days_mean_non_fresh_lead,0.47184791669511955,1.6029535827095833
46,min_MM_06,0.44958007708012593,1.5676537535129782
19,email_type_max_edu,0.4206830391095268,1.523001469994982
52,min_MM_12,0.39539492251568037,1.484970523430163
90,min_HR_06,0.37989245630051205,1.4621273383956033
47,min_MM_07,0.37698221882720806,1.4578783863532583
29,en_lead_creation_date_in_advance_BTWN3856,0.37454290317620703,1.4543264946419152
73,min_DD_21,0.34863400487216134,1.4171304325825336
74,min_DD_22,0.34674586767592475,1.4144572203907226
42,min_MM_02,0.32964864413664774,1.390479489504217
15,designation_final_individual_contributor / UnMapped,0.3220273871443262,1.3799225675782592
38,day_of_week_wednesday,0.26937874267193196,1.309150878463755
97,min_HR_13,0.23081049943955856,1.2596205180369136
12,designation_final_blank,0.2067794343595972,1.229711309803759
20,email_type_max_official,0.17511686345598007,1.1913854378969364
91,min_HR_07,0.16717331874749544,1.1819591032280852
55,min_DD_03,0.16710814318397663,1.1818820708878166
104,min_HR_20,0.16187869401927976,1.175717611092361
101,min_HR_17,0.15833880470085948,1.1715630585457948
0,en_workex_final_ordered,0.14319781097225248,1.153958044653534
56,min_DD_04,0.13563539758303492,1.1452642513486968
96,min_HR_12,0.09958673099773081,1.1047142795567693
71,min_DD_19,0.09231835306250788,1.096713908743008
82,min_DD_30,0.08194968185641283,1.0854011930823708
59,min_DD_07,0.07325977556574938,1.0760100217236148
44,min_MM_04,0.06462972260492682,1.0667639526680917
36,day_of_week_thursday,0.062193615350298714,1.064168364113727
88,min_HR_04,0.04803101381287302,1.0492031946114277
66,min_DD_14,0.016141888351651566,1.0162728724593226
9,source_tagged_min_webinar - google,0.0,1.0
41,min_MM_01,0.0,1.0
49,min_MM_09,0.0,1.0
18,"designation_final_top management (founder, md, ceo|cxo)",0.00018671919187826348,0.9998132982390652
80,min_DD_28,0.016482860066053873,0.983652238980588
8,source_tagged_min_webinar - facebook,0.024506867844054873,0.9757909873150635
54,min_DD_02,0.03263630101773955,0.9678905163777356
37,day_of_week_tuesday,0.03441598028850325,0.9661695135601274
89,min_HR_05,0.04202142841189253,0.9588492337360189
106,min_HR_22,0.04576590124323647,0.9552655624979763
103,min_HR_19,0.04750859570393883,0.9536022762145555
62,min_DD_10,0.05336721707353342,0.9480318150854442
34,day_of_week_saturday,0.057444008682470626,0.9441747544949249
107,min_HR_23,0.07254980840345238,0.9300194227240018
102,min_HR_18,0.09017537476043766,0.913770918862307
67,min_DD_15,0.09191432727243874,0.9121832954285123
92,min_HR_08,0.11572727848179287,0.8907181081707564
45,min_MM_05,0.12661055778225908,0.8810767342688656
